"","Aqua.Cap.items","Country","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"25","Atlantic salmon and Danube salmon, Pacific salmons, Salmon, Sockeye salmon","Angola",50350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,2472,4981,5994,4360,2746,8673,8159,6774,5195,0,0,0,0
"26","Black seabream, Porgy and seabream","Angola",3049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,2,2,0,359,0,705,385,0,0,248,113,18,0,0,0,0,0,0,0,0,0,300,246,0
"27","Cape horse mackerel, Cunene horse mackerel, Mackerel","Angola",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Cod","Angola",478.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.25,372.25,0,0
"29","European plaice, West coast sole","Angola",499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Flatfish","Angola",231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0
"31","Freshwater fish, Marine fish","Angola",1417.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.42,0,1119.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Grouper and seabass","Angola",1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,367,997,0
"33","Mackerel","Angola",2758.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2758.5
"34","Marine fish","Angola",2175.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447,111,215,335.08
