"","Aqua.Cap.items","Country","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"525","European sprat","Estonia",572773.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30639,53119,44438,45877,49227,51361,52100,42436,37222,35278,25222,15124,25919,27491,24646,12674.39
"526","Freshwater fish, Marine fish","Estonia",1275392.3494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18161,71605.71,87250.39,78769.74,83001.98,104418,98152.54,65995.39,68806.43,144935.09,86257.51,53447.26,26453.46,27185.76,25078.75,16277.96,14349.3,16232.61,15879.18,20434.46,21223.65,19630.8,20200.23,19447.79,18387.13,15229.72,19650.65,18929.8594
"527","Gilthead seabream, Vimba bream, White bream","Estonia",154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,119,0,0,1,31,0
"528","Halibut","Estonia",502.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,140,42,0,0,95,0,0,39,54,38,0,0,0,61.1699999999998
"529","Pacific salmons, Salmon","Estonia",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"530","Pilchards Sardinops spp and Sardinellas, Round sardinella, Sardine, European sprat, European pilchard, South American pilchard","Estonia",1661850.9168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4686.5,37095.7,64559.64,80624.84,73532.1,132847.94,126975.34,102027.32,41152.8,107163.62,139388.04,127946,64680.56,84556.08,80459.68,53755.94,48627.46,43772.96,37625.7,29674.96,28193.34,21902.44,28610.96,27698.58,16167.48,17462.9,20617.66,20044.3768
"531","Pilchards Sardinops spp and Sardinellas, Sardine, Sardine and sardinella and sprat","Estonia",25691.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5615.26,4794.28,5327.98,3028,2760.98,1026.76,994.84,845.88,470.3,686.98,140.7,0,0,0,0,0
"532","Porgy and seabream","Estonia",104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0
"533","Rainbow trout, Common carp, Houting","Estonia",16035.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2457,1331.75,513.5,673.75,473,1274.25,955.25,489.5,2510.01,521.85,1043.95,483.4,1032.49,1125.07,347.21,804.005
"534","Rainbow trout, Sea trout, Trout","Estonia",3896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2615.5,1280.5,0,0,0,0,0,0,0,0
"535","Rainbow trout, Sea trout, Trout and char","Estonia",4442.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,263.75,748.75,835,0,0,596.25,0,248.75,636.25,0,772.5,233.75,20,84.175
"536","Salmon, Sockeye salmon","Estonia",380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,129,100,0,31,0,11,0,0,0,9,0
"537","Tuna","Estonia",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"538","Freshwater fish, Marine fish","Ethiopia",20041.7028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51,0,0,0,0,107.85,1378.49,662.84,1345.2,2268.2,2041.82,2308.47,1626.71,2454.48,2565.78,1026.83,1000.17,784.02,465.3328
"539","Atlantic cod","Faroe Islands",160345.1993,0,0,1708.75,1910,1376.25,983.1,1615.85,2021.54,2253.67,3181.91,2278.61,885.55,0,0,0,0,14.1,0,0,11.28,70.5,0,0,0,0,372.24,3062.52,2907.42,4551.48,1697.64,442.74,6621.36,7494.1,6051.57,6631.1,9557.01,7115.82,10164.91,13256.82,11005.34,9291.24,11025.27,14593.9,16191.6093
"540","Atlantic cod, Cod, European hake, Hake, Haddock","Faroe Islands",110739.82,0,0,5270.58,5318.52,5515.92,1559.97,1201.29,186.13,447.48,2383.78,2697.84,2562.3,0,0,0,0,0,0,0,0,0,5346.72,2805.9,3595.5,4097.46,4709.4,8457.18,0,0,0,0,6638.28,10555.76,13022.66,10465.75,9516.4,655.25,1328,1370.5,697.5,0,0,0,333.75
"541","Atlantic halibut, Greenland halibut, Common dab, Witch flounder, American plaice, European plaice, Turbot, Lemon sole","Faroe Islands",9771.5,0,0,588.75,413.75,233.75,0,82.5,29.5,25.5,0,201,543,3618.75,3440,46,22,62,0,24,0,191,0,0,0,215,10,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"542","Atlantic herring","Faroe Islands",61857.975,15623.34,5106.94,4193.46,183.54,61.34,0,0,0,0,0,0,101.08,0,0,0,0,0,0,0,73.32,7.98,0,28.2,0,0,0,0,0,0,0,0,0,2073.75,3155.67,7127.5,5540,5,1666.25,0,0,1909.5,6008.75,5946.5,3045.855
"543","Atlantic salmon","Faroe Islands",857998.74,0,0,0,0,0,719,1220,838,996,993,1893,3612,5376,8194,11811,15594,15701,14666,11835,5943,11938,16513,13790,26686,22199,32900,31150,34631,26797,11437,5584,12430,24255,31113,23319,36342,46511,43516,48157,46150,49952,50880,53440,58917.74
"544","Atlantic salmon, Atlantic salmon and Danube salmon","Faroe Islands",211545.025,22,36,34,26,591,0,4,27.5,14,0,0,0,0,0,130,205,275,582.5,1402.5,1995,3260,2472.5,3976.25,5401.25,5128.75,6638.75,5571.25,5555,4820.25,3178.5,3254.25,3668,7516.25,10310,11441.25,10937.5,13768.75,16982.5,20355,17003.75,13293.75,13551.25,6015,12100.775
"545","Beaked redfish, Golden redfish","Faroe Islands",47909.75,0,0,0,0,0,1156.5,1740,1886,2794.75,3584,4777.75,4584.25,1355,3578.75,0,0,0,0,0,0,0,327.5,432.5,255,120,161.25,30,0,0,0,172.5,0,3696,3183,3000,1900,1200,1500,950,1150,980,1250,1350,795
"546","Blue whiting","Faroe Islands",70910,0,0,0,0,0,523.75,2020,1757.5,1878.75,1141.25,905,902.5,0,0,0,0,0,0,0,0,0,0,11.25,0,1567.5,7042.5,4856.25,7427.5,7453.75,9743.75,11655,11682.5,0,281.25,58.75,1.25,0,0,0,0,0,0,0,0
"547","Blue whiting, Atlantic salmon, Capelin","Faroe Islands",1039201.35,0,4614.5,2005.5,6327.96,3850.5,20269.5,1444.5,7590.5,6619.82,9298.98,1843.14,22733.06,31457.2,12158.26,10390.75,5331.75,5387.18,9389.75,4579.1,23237.5,12909.81,17375.76,19841,15143.32,12574.46,28226.36,28283.39,32994.42,30641.9,40365.26,45841.51,57584.73,2277.16,3090.56,44288.75,27533.05,34561.6,40464.35,28403.75,41528.75,40380.5,72324.95,91702.9,82333.66
"548","Cod","Faroe Islands",1259.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1259.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"549","Dogfish shark","Faroe Islands",5494,279,198,121,175,527,161,206,235,231,165,281,280,0,0,279,901,745,674,21,0,0,0,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"550","Dogfish shark, Leafscale gulper shark, Ray and skate","Faroe Islands",218,0,0,0,0,0,56,83,42,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"551","European hake","Faroe Islands",5751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,0,1,0,518,89,0,0,121,29,0,278,4687,0,0,0,0,0,0,0,0,0,0
"552","Flatfish","Faroe Islands",19574.1,0,0,0,356,0,0,0,0,0,0,0,0,0,0,72,128,120,1118,0,301,829,859,860,1187,1570,1805,1613,1972,1642,892,919,257,684,612.75,432,341.25,137.5,176,126,174,125,150,63.5,52.1
"553","Herring","Faroe Islands",15219.83,0,0,0,0,0,0,0,4761.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10458.01,0,0,0,0
"554","Mackerel","Faroe Islands",88960.53,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,1466,0,0,0,0,3426,5928,203,0,0,4307,333,0,0,0,0,0,15785,18004,0,0,0,0,0,0,12315,7333,0,19809.53
"555","Marine fish","Faroe Islands",1324054.5758,19933.21,29320.41,3722.22,10323.25,14589.19,12944.17,14732.61,17680.79,22214.54,18000.88,15430.02,15420.1,18457.87,15802.43,68463.82,64985.8,64319.82,20255.55,23919.19,27361.59,22496.12,16427.55,14935.25,15644.13,16238.11,19110.73,17781.42,24826.29,22744.07,40204.15,43932.51,41043.82,43213.17,46607.64,38129.42,37137.42,38583.04,43657.75,46276.32,48898.72,43825.77,50163,48589.45,45711.2658
"556","Rainbow trout","Faroe Islands",59503,82,58,70,63,76,0,0,0,0,450,639,1636,0,0,45,490,820,981,407,63,499,1255,852,1801,916,2293,7620,7962,3628,2821,3605,4501,6242,7029,2052,237,0,88,15,0,0,32,167,8
"557","Shark and ray and skate","Faroe Islands",2187,0,0,0,0,0,17,31,0,117,0,0,7,0,0,40,136,6,21,0,175,280,226,336,396,327,46,21,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"558","Trout and char","Faroe Islands",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,0,0,5,32.5,10,0,0
"559","Bigeye tuna, Skipjack tuna, Yellowfin tuna","Fiji",541518.3194,0,0,2022.5,10789,3096.86,11251.4,4915.32,11758.14,8284.72,3736.74,4995.2,5488.88,6965.96,16120.68,17113.36,19288.76,5260.62,0,11814.88,17497.94,15428.28,19751.86,16845.34,26689.6,2242.32,1992.6,0,0,0,0,0,0,0,0,0,0,9636.16,47257.52,58423.04,41760.15,44884.5,43881.84,25906.05,26418.0994
"560","Blue shark, Hammerhead shark, Oceanic whitetip shark, Silky shark","Fiji",1126.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,20,9,10,8,185,19,31,368,162,35,0,58,102,4,0,28,0,0,0,0,0,0,0,16.03
"561","Dogfish and other sharks","Fiji",411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,52,0,20,10,131,4,0,0,0,111,25,0,0,56,0,0,0,0,0,0,0,0
"562","European plaice, Turbot","Fiji",4933.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2086,0,48,0,18,0,14,12,10,117,326,33,17,603,144,57,75,15,243,177,116,140,181,128,105,178.41
"563","Fish","Fiji",79.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.25,15,18.75,16.25,2.5,0,5,0.350000000000001
"564","Freshwater fish, Marine fish","Fiji",4671.1,0,409.259999999999,24,0,0,0,0,0,0,0,0,0,0,206.54,566.12,715.76,227.94,2085.31,0,0,233.89,0,0,0,0,0,0,0,0,0,0,0,0,83.2800000000001,0,0,0,0,0,0,0,119,0,0
"565","Indian mackerel, Jack and horse mackerel, Narrow-barred Spanish mackerel","Fiji",7987.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6155.66,1832.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"566","Marine fish","Fiji",45.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.44
"567","Pacific salmons","Fiji",226.1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.96,13.3,0,0,196.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"568","Pacific salmons, Salmon","Fiji",55931,0,0,0,0,0,0,0,0,0,0,0,0,0,57,39,1,0,2,311,0,993,1104,1241,662,0,0,220,273,72,3,171,1731,4713,15239,20838,8178,29,6,24,8,16,0,0,0
"569","Sardine, Sardine and sardinella and sprat","Fiji",162.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"570","Tuna","Fiji",36371.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,2650,0,0,388,0,51,548,0,0,0,8819,10511,2228,5747,43,0,0,0,0,0,0,0,5237.04
"571","Atlantic cod, Pacific cod","Finland",22158,0,0,0,0,6.95999999999998,829.12,3995.46,6238.36,5065.04,3344.66,1476.42,1201.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"572","Atlantic herring","Finland",249794.0547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6425.11,1211.98,0,0,0,0,0,0,0,5448.19,3990.2,5071.08,18224.73,21542.25,19742.59,33888.85,33111.52,29966.16,19276.09,18365.17,33530.1347
"573","Atlantic salmon, Atlantic salmon and Danube salmon, Pacific salmons, Salmon, Salmon and trout and char, Rainbow trout, Sea trout, Trout, Trout and char","Finland",3742.75,0,0,0,0,0,0,6,389.75,1139,1708.5,86,365.75,0,0,47.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"574","Atlantic salmon, Salmon","Finland",548,0,0,0,0,16,0,3,8,8,35,5,16,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,67,0,0,100,276,0,0,0,0,0,0,0,0
"575","European sprat","Finland",217998.56,0,6,12,16,96,4,11,15,17,0,0,0,0,0,0,0,0,0,0,0,0,498,1327,604,3299,3694,4004,3856,8833,14564,15527,22239,18963,23880,22592,16752,16786,17435,7428,3188,2169,1887,3220,5076.56
"576","European sprat, European pilchard","Finland",9466.4346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.14,4146.94,3197.32,1622.6,4.81459999999993
"577","European whitefish","Finland",70,14,2,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"578","Fish","Finland",5223.13,0,0,0,0,2441.92,2669.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.93,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"579","Freshwater fish, Marine fish, Fish","Finland",465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.25,136.25,168.75,22.5,0,0,16.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"580","Mackerel","Finland",471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,96,0,0,0,0,0
"581","Rainbow trout, Sea trout, Trout","Finland",11967,0,0,0,0,0,0,0,0,0,0,0,0,3119,2487,1140,949,1190,956,0,410,416,534.5,0,765.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"582","Rainbow trout, Sea trout, Trout and char","Finland",1682.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.5,215,187.5,122.5,173.75,98.75,100,0,0,20,46.25,0,0,0,0,0,0,96.25,0,0,0,98.75,200,86.25,0
"583","Anchovy","France",470.08,0,0,0,0,470.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"584","Anchovy, European anchovy","France",257886,0,0,0,0,0,0,0,988,143,1020,1550,5028,10708,10075,9998,11160,14433,16498,15092,9670,14782,12732,19358,12449,17327,14191,11161,7751,7573,2301,2114,2748,2447,1567,3533,1938,3811,2141,2994,2570,1908,1988,1401,738
"585","Angelshark, Blue shark, Dogfish shark, Leafscale gulper shark, Porbeagle shark, Small-spotted catshark, Tope shark, Catshark and nursehound","France",3448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,50.75,146,24.75,31.75,0,157,366.25,94.25,34.25,0,0,0,0,0,0,60.25,193,544.25,563.75,532.25,358.5,187,0,0,0
"586","Argentine hake, Cape hake, European hake, Hake of the genus Urophycis, Shallow-water Cape hake, Southern hake, White hake","France",4910.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1816.96,3093.57,0,0,0,0,0
"587","Atlantic and Pacific bluefin tuna, Atlantic bluefin tuna, Bigeye tuna, Blackfin tuna, Bullet tuna, Frigate tuna, Skipjack tuna, Southern bluefin tuna, Tuna, Yellowfin tuna","France",140250.2062,0,0,0,0,0,0,0,0,0,0,0,0,992.18,1191.68,1654.52,848.54,978.88,973.56,1862,3918.18,4694.9,5064.64,4301.22,6051.5,6594.14,6328.14,8208.96,4514.68,3975.7,3162.74,3538.46,6610.74,5875.18,5801.5,5168.38,3512.46,3743.88,3607.92,4170.82,6979.72,7652.7,6548.32,5209.8,6514.1662
"588","Atlantic bluefin tuna, Tuna, Tuna and bonito","France",8693.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425,922,0,0,0,0,0,0,2142,0,0,0,0,0,0,0,69,0,0,504,441,0,0,700,1176,1314.65
"589","Atlantic bonito, Tuna and bonito","France",313.88,0,0,0,0,0,61.18,0,0,15.96,2.66,7.98,5.32,31.92,188.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"590","Atlantic halibut, Greenland halibut, Halibut, Pacific halibut, Common dab, European flounder, Flounder, Witch flounder, American plaice, European plaice, Turbot, Megrim, Common sole, Lemon sole, Sand sole, Senegalese sole, Sole, Thickback sole, Wedge sole","France",3353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,955,0,0,0,0,318,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"591","Atlantic halibut, Greenland halibut, Pacific halibut","France",61,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"592","Atlantic herring","France",466.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"593","Atlantic horse mackerel, Mackerel, Mediterranean horse mackerel","France",103726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,9581,6852,28138,21581,13094,11354,873,312,2027,235,933,0,0,1505,2752,0,1745,0,0,0,329,0,413,0,0,0
"594","Atlantic redfish, Golden redfish, Scorpionfish and redfish","France",111.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.5,0,0,0
"595","Atlantic salmon, Atlantic salmon and Danube salmon, Coho salmon, Pacific salmons, Salmon, Salmon and trout and char, Sockeye salmon, Brook trout, Rainbow trout, Sea trout, Trout, Trout and char, Arctic char","France",2561.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.76,574.44,747.42,344.83,184.96,0,0,0,0,0
"596","Axillary seabream, Black seabream, Blackspot seabream, Gilthead seabream, Saddled seabream, White seabream","France",48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"597","Black dogfish, Picked dogfish, Portuguese dogfish, Angelshark, Blue shark, Leafscale gulper shark, Porbeagle shark, Shark, Small-spotted catshark, Tope shark, Catshark and nursehound","France",1136.6025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.75,547.75,492.1025
"598","Blue whiting, Southern blue whiting","France",149.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,1.25,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"599","Blue whitings","France",1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"600","Brook trout, Rainbow trout, Sea trout, Trout and char","France",4412.725,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,38.75,25,91.25,186.25,113.75,22.5,2.5,0,10,502.5,416.25,386.25,567.5,66.25,725,397.5,82.5,0,38.75,0,0,0,0,142.5,172.5,72.5,146.25,101.25,0,98.975
"601","Brook trout, Rainbow trout, Sea trout, Trout, Arctic char","France",61392,0,0,1356,201,993,996,0,128,0,0,0,0,0,0,220,0,0,993,1263.5,1490.5,1680.5,1641,4337.5,4287,3757.5,1536,1789.5,842.5,1455.5,2378.5,2056,2531.5,2333,2806.5,2550,1875,2036,2772.5,3724.5,2706,2752.5,1902,0,0
"602","Carps, Common carp, Grass carp, Silver carp, Eels, European eel, Nile perch and snakeheads Channa spp","France",60.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.75,8.75,13.125
"603","Cod","France",58.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,14,23,0,0,10.68
"604","Common carp, Grass carp, Silver carp","France",9979,661,539,983,1276,859,721,1149,858,688,662,646,505,185,225,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605","European eel","France",43114.2404,3110,2543,2715,2601,2436,2756,2103.5,2268.5,2362,1492,1929,1322.5,2115,1334.5,1360.5,1217.5,933.5,644,588.5,165.5,674,661,330,504.5,1187.5,121.5,576,378,860.5,191.5,205.5,210,149,17,158,173.5,0,0,10.4400000000001,0,182.22,146.64,202.8,177.1404
"606","European flounder, Witch flounder","France",459.25,0,0,0,0,0,0,80.25,62,0,0,0,0,0,0,0,0,0,283.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.75,15.75,0,0,0,0,0,0,0,0,0,0
"607","European pilchard, Pilchards Sardinops spp, Sardine and Pilchard","France",5032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,1,0,4960,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"608","European seabass, Spotted seabass","France",9932,0,0,0,0,0,0,0,0,0,0,0,0,170,304,288,455,276,214,0,286,1306,1020,1693,1522,1106,261,376,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"609","European sprat","France",6434,0,0,4,423,349,0,0,0,1065,1415,375,756,560,0,0,503,7,9,0,0,337,0,0,0,0,0,1,0,79,0,0,0,0,0,59,79,86,327,0,0,0,0,0,0
"610","Freshwater fish, Marine fish, Fish","France",712.88,0,0,0,0,0,0,0,0,0,0,0,0,0,71.82,117.04,0,0,0,0,0,148.96,0,0,0,0,0,0,13.3,0,0,199.5,106.4,55.86,0,0,0,0,0,0,0,0,0,0,0
"611","Golden redfish, Redfish, Scorpionfish and redfish","France",1626,0,828.5,678,119.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"612","Hake","France",200.25,0,0,0,0,0,0,0,0,0,0,0,0,10,10.75,33.75,0,0,0,0,0,64.75,52,0,0,0,0,4,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
"613","Halibut","France",152,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0
"614","Kawakawa, Little tunny","France",11893.8534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19.36,0,0,0,0,0,310.68,571.62,440.6,159.62,264.28,518.44,366.62,60.5599999999999,216.18,815.9,1192.94,0,523.5,676.16,410.5,1176.52,1296.86,702.5,565.04,430.84,294.7,473.34,390.0934
"615","Mackerel","France",2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2386,0,0,2,0,44,0,25,0,34,0,0,0,0,0,0,0,0,42,0,22,0,0,0,0,0,0,0,0,0
"616","Marine fish","France",14224.77,0,0,0,0,0,0,0,0,0,0,0,0,184,255,216,215,200,1274,1420,366,617,419,291,311,270,553,244,201,184,245,471,1232,766,799,850,718,0,543,0,494,639,0,177,70.77
"617","Patagonian toothfish","France",46785.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3418.75,3259,3842,2570,1739,1473.75,2130.25,1400.75,3129.75,3236,3089.5,1060.5,3503.25,4421.25,2375,2504.75,2759.75,872,0,0
"618","Pilchards Sardinops spp, Pilchards Sardinops spp and Sardinellas, Round sardinella, Sardine, Sardine and Pilchard, European pilchard","France",990.8234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.26,252.7,0,0,0,0,0,0,0,58.52,0,0,207.48,0,0,0,0,0,0,0,0,0,210.14,29.26,0,0,0,0,70.4634
"619","Seabream","France",947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"620","Shark","France",26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,7.1
"621","Small-spotted catshark, Nursehound","France",717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,38,29,29,0,42,90,62,0,0,63,105,55,48,96,0,0,0
"622","Tuna, Tuna and bonito","France",207504.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15216,6330.66,0,9064.5,5740,24081,2359,0,8817,21354,0,31500,13417.5,2000,0,3396.75,35398.5,8597.25,0,4344,15738,82,65,3,0,0,0,0
"623","Marine fish","French Guiana",219,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53,39,55,33,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
