,Country,Detailed.production.source,Taxon,Taxon2,Aqua.Cap.items,Mean.Trophic.Level,Total.production,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
19,Albania,Capture,Marine fish,Fish,Common dentex,4.5,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,80,4,5,25,40,27,32,43,25,22,14,13,11,15,18,17,15,16
20,Albania,Capture,Marine fish,Fish,Common pandora,3.5,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,25,33,35,34,15,26,13,20,3,30,25,54,39,23,31,25,34,43,42,47,44,31,52
21,Albania,Capture,Marine fish,Fish,Common sole,3.2,1312.25993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.07692308,0,0,35,30.13888889,41,14,194.0441176,38,73,40,48,63,63,69,120,68,79,62,44,71,68,69,0,0
22,Albania,Capture,Freshwater fish,Fish,Crucian carp,3.1,6236,0,0,0,0,0,0,0,0,0,0,0,148,143,149,97,32,11,10,9,0,0,0,77,62,65,326,260,300,350,381,394,431,380,208,225,230,90,99,110,164,137,345,480,523
23,Albania,"Imports,Capture,Capture,Capture,Capture,Capture,Capture,Capture",Crustacean,Crustacean,Crustacean,2.5,56214.0103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,0,0,9,31,10,16,33,22,27,175,201,311,261,324,360,367,360,474,600,2270.4,2353.46,2960,3129.14,4938.38,10906.05,11727.4,14313.1803
24,Albania,Capture,Marine fish,Fish,Dogfish shark,4.5,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,13,0,0,0,10,77,1,7,56,73,30,36,48,31,38,0,0,0,0,0,0,0,0
25,Albania,"Imports,Capture","Fish,Marine fish",Fish,European anchovy,3.1,101222.6598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921.72,2273.58,1645.6,262.34,4156.14,4631.12,7653.94,8197.16,6259.62,2861.546298,8591.879681,5932.32,7830.64,8287.58,2755.32,7367.12,3652.42,1490.34,1905.78,2801.727133,3884.760022,2774.394864,3246.665926,1838.945868
26,Albania,Capture,Marine fish,Fish,European conger,4.3,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,10,7,5,3,3,61,47,41,0,22,6,6,10,9,8,5,6,5
27,Albania,"Capture,Capture","Freshwater fish,Marine fish",Fish,European eel,3.6,2511,0,0,0,0,0,0,0,0,0,0,0,177,194,143,165,81,188,150,100,3,43,5,48,57,62,90,12,0,22,68,148,106,81,53,59,48,50,47,43,50,41,47,60,70
28,Albania,Capture,Marine fish,Fish,European flounder,3.3,397.8464052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,39.86111111,45,15,2.985294118,0,37,20,27,15,17,17,34,8,16,15,12,12,13,10,0,0
