"","Aqua.Cap.items","Country","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","Common carp, Rainbow trout, Silver carp","Albania",403.204852602693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56338241991802,0.317829849688749,138.742236024845,85.9898560209424,176.591548287299
"2","European anchovy, European pilchard, Gilthead seabream","Albania",12828.5272473973,0,0,0,0,0,0,0,0,0,0,252.92,487.88,757,85,3706,1377.82,765.56,687.76,176.4,230.36,0,0,0,0,0,0,0,0,0,27,93,0,0,0,0,0,0,0,0,307.376617580082,31.0821701503112,486.707763975155,1665.91014397906,1690.7505517127
"3","Freshwater fish Fish","Albania",129.818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Freshwater fish, Fish","Albania",67.372900984366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.1818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1910828025478,0,0
"5","Marine fish, Fish","Albania",2765.37012516016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.98,444,205,0,0,0,0,0,18,47,45,0,0,0,0,0,0,0,0,0,0,0,166.090445859873,923.769679300292,697.53
"6","European pilchard, Jack and horse mackerel, Sardine","Algeria",9906.52,3668.02,5051.58,668.74,518.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Freshwater fish, Fish","Algeria",115.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,6,19,5,4,4,0,22,12,5,11,0,1,6,6.27,0.800000000000001,0,0,0,0,0,0,0,0,0,0
"8","Marine fish, Fish","Algeria",608.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.48,0,0,0,14,0,0,0,0,0,0,62,82,31,0,154,20,0,0,0,0,0,0,0,0,0,0,0
"9","Marine fish, Fish","Angola",54205.6111000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,211,372,0,0,0,911.64,2062.78,4834.34,5853.84,4217.18,2328.36,8437.88,7899.04,6261.32999999999,4870.95,259,366,995,4095.2711
"10","Argentine hake, Patagonian grenadier, Southern blue whiting","Argentina",2337856.85077214,15.96,13587.64,14283.84,13822.44,24203.28,37425.62,10616.1,9384.5,22837,33146,142834.16,166505.41,145544.24,150605.99,167864.64,61949.32,140161.506575674,221827.618319411,245682.234277058,36745.7,43090.84,30803.84,40325,45459.66,55620.76,35835.46,39290.87,52667.35,30609.49,22243.97,34148.77,30137.62,39246.75,34546.75,28647.25,23108.75,15734.6,13900.72,12470.25,11512.15,9898.67,10138.6,9309,10066.5316
