"","Country","Detailed.production.source","Aqua.Cap.items","Mean.Trophic.Level","Taxon","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"20","Albania","Capture","Wuchang bream",3.3,"Freshwater fish",105,0,0,0,0,0,0,0,0,0,0,0,12,13,32,13,2,1,1,1,0,0,0,0,0,0,0,3,0,0,2,4,3,3,12,0,1,1,1,0,0,0,0,0,0
"21","Albania","Imports","Tuna",4.41419355212676,"Fish",1456.8288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.54,15.96,0,2.66,79.8,31.92,63.84,26.6,39.9,23.94,42.56,74.48,42.56,34.58,518.7,164.92,763.42,61.18,832.58,0,0,0,0,0,0
"22","Albania","Imports","Trout and char",4.07308571312929,"Fish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,20,2,48,116,52,0,0,10,0,0,0,0,18,9,10,12,0,0,0,0
"23","Albania","Imports","Toothfish Dissostichus spp",4.45642422985549,"Fish",209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,11,0,0,0,0,13,9,0,0,0,0,0,0,0,0,0
"24","Albania","Capture","Swordfish",4.5,"Marine fish",244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,2,15,0,5,12,23,20,28,12,17,20,9,12,11,14,15,16,0,0
"25","Albania","Capture","Surmullet",3.5,"Marine fish",7708,0,0,0,0,0,0,0,135,64,53,79,62,74,124,172,158,537,400,200,76,64,61,143,145,140,170,97,141,158,113,185,154,162,187,113,132,450,448,380,466,475,470,347,373
"26","Albania","Imports","Sockeye salmon",3.5,"Fish",114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,1,0,0,0,74,0,7,0,0,0,0,0,0,0,0
"27","Albania","Capture","Smooth-hound",3.9,"Marine fish",479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,3,12,12,32,5,23,10,12,2,8,15,21,40,10,14,34,38,35,39,37,40,5,0
"28","Albania","Imports","Skipjack tuna",4.4,"Fish",9561.7424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.22,183.54,47.88,133,239.4,335.16,430.92,414.96,0,399,0,654.36,0,986.86,912.38,1002.82,1008.14,1239.56,1528.5424
"29","Albania","Capture","Shad",3.5,"Freshwater fish",696,0,0,0,0,0,0,0,0,0,0,0,93,132,20,18,6,3,3,2,1,2,1,0,0,0,2,23,25,30,14,32,42,42,23,23,30,12,15,14,16,14,15,18,25
"30","Albania","Imports","Seabream",3.63903005392303,"Fish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,2,0,0,0,0,3,0,0,6,132,89,0,0,0,0
"31","Albania","Imports","Seabass",3.57754369767593,"Fish",2293.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,39,46,21,0,0,25,0,216,0,53,77,238,485,469,431,183,15.79
"32","Albania","Imports","Sardine and sardinella and sprat",2.93709866150701,"Fish",5148.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.54,93.22,30.6,503.42,651.7,26.6,45.22,1,87.78,13.3,21.28,0,0,0,152.62,18.1,181.88,1064.98,250.54,94.48,109.42,312.24,514.1,702.61
"33","Albania","Capture","Sand smelt",3.45,"Marine fish",731,0,0,0,0,0,0,0,0,0,0,0,132,140,138,63,18,20,20,15,8,20,8,11,15,20,10,16,0,2,4,3,5,10,8,4,4,5,5,4,5,5,5,4,4
"34","Albania","Imports","Salmonids",4.22855634639059,"Fish",18.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,8,0,0,0,84,76,98,29,35,0,0,5,28,1,0,4,0,22,0,4,0,0,8.96
