"","Aqua.Cap.items","Country","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"27","Crustacean","Algeria",14367.1,17,0,16,0,80,62,22,2,0,0,0,0,2,19,45,115,241,230,372,611,232,318,167,587,906,846,952,898,861,1073,929,718,672,560,385,458,377,250,272,252,226,240,220,134.1
"28","European anchovy","Algeria",547.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.46,155.1,59.22,11.28,0,0,0,0,0,0,0,36.66,0,0,0,0,45.12,11.28,0,0,22.56,0,0,0,0,56.4,0,0
"29","European eel","Algeria",422.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,23,26,36,22,36,19,11,54,45,21,27,8,8,21,18,15,4,0,0,0,0,0,0,0,0,15.6
"30","Fish","Algeria",16607.33,3875.68,5294.22,951.06,682.16,551.8,593.74,5,60,78,170.26,99.2,157.24,119.94,57.82,110.82,291.66,121,108,48,142,185,148,97,95,126,134,686,82,66,148,223,203,274,240,164,75,2,2,15,7,19,74,0,24.73
"31","Flatfish","Algeria",334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,49,54,55,60,14,4,1,0,1,25,2,1,4,5,28,0,0,0,0,0,0,0,0,0,0,0
"32","Marine fish","Algeria",235.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,75.2
"33","Salmonids","Algeria",1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,0,14,39,8,10,13,39,69,82,66,103,56,151,170,66,11,3,0,43,50,54,63,50,0,0,0
"34","Sardine and sardinella and sprat","Algeria",124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0
"35","Southern bluefin tuna","Algeria",880.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,134,485,0,186.9
"36","Tuna","Algeria",3788.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,2.66,367.08,250.04,42.56,0,2.66,2.66,15.96,287.28,755.44,90.44,438.9,146.3,186.2,180.88,109.06,364.04,274.25,269.85
"37","Atlantic mackerel","Angola",2758.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2758.5
"38","Cephalopod","Angola",18154.65,0,0,0,0,0,0,0,0,0,0,0,0,0,169,94,401,252,216,1123,241,102,27,819,856,1501,3670,4118,1101,1665,751,149,763,0,0,0,0,0,0,0,0,0,100,0,36.65
"39","Croaker","Angola",121.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.2
"40","Crustacean","Angola",72799.921,0,0,0,0,0,0,0,0,0,0,0,0,320,67,277,357,817,0,0,241,1051.0665,2719.442,2915.8739,2403.6247,2556.3091,2958.1131,3748.0865,1744.5682,1782.4187,2025.9469,2147.4718,1405,899,916,1059,619,1388,1609,1365,1683,10115.1863,8306.4784,7950.2449,7353.09
"41","Fish","Angola",11478.2984,0,0,0,0,0,0,0,0,0,0,0,0,2808,1660,673,466,387,2063,1098,0,0,48.75,68.75,0,1.25,0,150.46,11.28,8.46,8.46,24.74,21.35,16.82,2.82,2.82,5.64,8.46,11.28,8.46,8.46,2.82,70.64,8.46,1833.1184
"42","Flatfish","Angola",9409.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,620,477,434,365,785,672,25,32,0,32,55,0,0,0,0,0,0,0,0,571,1600,3657,10.61
"43","Hake","Angola",1001.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,99,133,0,0,0,0,0,0,0,0,0,0,0,765.9
"44","Herring","Angola",258.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.27
"45","Jack and horse mackerel","Angola",10502.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10496.61
"46","Mackerel","Angola",31262.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,2145,373,700,500,203,0,0,0,0,0,0,0,0,0,10300,903,11200,3752.58
"47","Marine fish","Angola",25995.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461,959,2215,2508,1936,1251.75,6192.75,2494,3451.5,2423.25,932,110,21,0,0,0,0,0,0,0,0,0,0,0,40.7
"48","Pacific salmons","Angola",1346.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1346.77
"49","Saithe","Angola",482.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.25,376.25,0,0
"50","Salmonids","Angola",50974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,2500,5000,6000,4500,2748,8700,8200,7000,5326,0,0,0,0
"51","Sardine","Angola",415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","Sardine and sardinella and sprat","Angola",33636.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21186.36,3659.66,8307.98,438.13
"53","Seabass","Angola",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,400,1040,0
"54","Seabream","Angola",4197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,2,2,0,359,269,888,748,126,17,348,203,18,0,0,0,0,0,0,0,0,0,300,246,0
"55","Shark and ray and skate","Angola",688.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,39,54,54,115,201,73,4,0,0,2,0,0,0,0,0,0,0,0,0,28,31,70,12.23
"56","Skipjack tuna","Angola",201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Swordfish","Angola",1931.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1448,125,215,76.81
"58","Tuna","Angola",1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,853,0
"59","West coast sole","Angola",872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,35,749,0
"60","Yellowfin tuna","Angola",597.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.55
"61","Anchovy","Argentina",881121.9024,1952.44,10754.76,3722.36,2790.34,5617.56,3336.54,2285.2,1699.28,805.98,1846.04,7640.5,11879.14,21703.78,24574.82,18085.96,16366.46,19277.36,24559.38,25052.72,24013.68,25118.96,22873.44,33203.36,22096.6,18352.16,19994.36,19109.18,43788.24,52135.42,52933.64,40533.12,33989.08,36363.22,28585.98,44837.94,33627.56,25800.22,20219.16,21539.64,14367.36,14589.44,9570.82,12190.54,7338.1624
"62","Argentine angelshark","Argentina",13057.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,718,1124,1378,940,1208,572,172,95,194,277,166,489,567,646,666,402,339,309,344,336,245,90,118,105,113,52,251.75,172.675
